21,105,105,105,35,105,35,5,21,35,105,35,5,3
6,14,210,10,21,30,21,105,10,3,14,105,35,30
14,15,2,21,70,210,570,14,70,10,14,210,5,6
3,2,3,2,3,266,2310,285,7,35,10,2,7,30
42,105,210,15,14,35,190,42,105,105,105,105,105,30
14,10,6,42,105,105,35,14,210,210,210,70,10,114
21,105,30,42,30,2,3,3,14,30,6,21,1995,330
6,42,10,2,6,21,210,35,15,2,2,42,210,570
570,70,35,15,2,42,30,3,42,105,105,210,30,6
66,21,35,210,35,70,14,42,210,70,70,70,30,6
266,10,3,2,21,105,105,10,2,3,2,3,2,6
21,35,210,35,210,70,30,3,7,70,35,70,105,30
42,15,2,3,2,3,2,42,105,1995,105,15,6,390
14,70,35,70,35,70,35,10,266,770,1330,10,2,2
